f_name,gnd,doi,name,fulltext
Amtmann_Emanuel.html,https://d-nb.info/gnd/13431428X,https://dx.doi.org/10.1553/0x0001f6da,"Amtmann, Emanuel Elisabeth Brosch-Fohraheim",
Amtmann_Prosper.html,https://d-nb.info/gnd/131726021,https://dx.doi.org/10.1553/0x0001f6db,"Amtmann, Prosper",
An_der_Lan-Hochbrunn_Hartmann.html,https://d-nb.info/gnd/10389991X,https://dx.doi.org/10.1553/0x0001f711,"An der Lan-Hochbrunn, P. Hartmann von, OFM (Paul Eugen Josef)",
Analyse.html,,https://dx.doi.org/10.1553/0x0001f6dc,Analyse ,
Anatour_Maria.html,https://d-nb.info/gnd/1033801569,https://dx.doi.org/10.1553/0x0001f6dd,"Anatour, Maria",
Anday_Rosette.html,https://d-nb.info/gnd/116303492,https://dx.doi.org/10.1553/0x0001f6df,"Anday, Rosette (eig. Piroska, gesch. Ketschendorf, verh. Bünsdorf)",
Ander_Alois.html,https://d-nb.info/gnd/119497476,https://dx.doi.org/10.1553/0x0001f6e5,"Ander (eig. Anderle), Alois Ernst,",
Andergassen_Familie.html,,https://dx.doi.org/10.1553/0x0001f6e0,"Andergassen, Familie Ferdinand:",
Andergast_Maria.html,https://d-nb.info/gnd/12206786X,https://dx.doi.org/10.1553/0x0001f6e3,"Andergast (eig. Pitzer), Maria",
Anderluh_Anton.html,https://d-nb.info/gnd/134314395,https://dx.doi.org/10.1553/0x0001f6e4,"Anderluh, Anton",
Anders_Susanne.html,https://d-nb.info/gnd/116304170,,"Anders (geb. Mysz), Susanne (Pseud. Susi Gmeiner) L. Gmeiner",
Andolfo_Franco.html,https://d-nb.info/gnd/134314875,https://dx.doi.org/10.1553/0x0001f6e6,"Andolfo, Franco",
Andrae.html,https://d-nb.info/gnd/1033994073,https://dx.doi.org/10.1553/0x0001f6ed,"Andrä (Andre, Meister Andreas)",
Andrasffy_Familie.html,,,"Andrásffy (von) Dévény-Ujfalu, Familie Adalbert",
Andre_Familie.html,,https://dx.doi.org/10.1553/0x00021864,"André, Familie Johann",
